title,year,name,type,character,n
Casanova Variations,2014,Ricardo Abrantes,actor,Fireman,
Uma Onda No Ar,2002,Benjamim Abras,actor,Brau,4.0
Vida de Menina,2003,Benjamim Abras,actor,Prof. Teodomiro,8.0
Salvation,1998,Jay Abrash,actor,Arriving Diner,
Na zavtrashney ulitse,1965,Nikolay Abrashin,actor,Aleksey Alekseyevich Rebrov,5.0
Voydi v moy dom,1968,Nikolay Abrashin,actor,Boris,
Scorpio Nights,1985,Carlito Abrasia,actor,Karlo,12.0
Scorpio Nights 2,1999,Carlito Abrasia,actor,Tootsie,13.0
Groove,2000,Ed Abratowski,actor,Green-Haired Guy,36.0
Tap,1989,David Abravanee,actor,Harry's Band,33.0
Amor em Sampa,2016,Tiago Abravanel,actor,Raduan,6.0
120,2008,Yasar Abravaya,actor,Sait,
11'e 10 kala,2009,Liezer Abrayava,actor,Radyo Tamircisi (Radio Technician),
I hara kai i thlipsi tou somatos,2012,Haris Abrazis,actor,Evagoras,1.0
Pressure,2009,Jose Abreau,actor,Lafayette,
La mujer de los dos,1996,Carlos Abrego,actor,Charlie,4.0
El contrabando del paso,1980,Eugenio Abrego,actor,Eugenio,7.0
Al margen de la ley,1989,Fidel Abrego,actor,Picudo,17.0
AR-15 Comando Implacable II,1997,Fidel Abrego,actor,Ramiro,14.0
Asalto violento,1993,Fidel Abrego,actor,Botones Hotel,18.0
Asesino misterioso,1997,Fidel Abrego,actor,Taxista,17.0
Cazador de demonios,1983,Fidel Abrego,actor,La V?ctima,17.0
Code... Death: Frontera Sur,1993,Fidel Abrego,actor,Officer 4,19.0
El Hombre de Negro II,2014,Fidel Abrego,actor,Lino,
"Gloria, victima de la fama",2000,Fidel Abrego,actor,Narco 2,
La banda del Antrax,2002,Fidel Abrego,actor,Todo Joe,
La blazer blindada,1991,Fidel Abrego,actor,Narcotraficante #8,23.0
La frontera en llamas,1994,Fidel Abrego,actor,Papa Pepito,16.0
La noche de los Troyanos,2003,Fidel Abrego,actor,El tinto,
Let's Get Harry,1986,Fidel Abrego,actor,Hood #1,1.0
Mi barrio cholo,2003,Fidel Abrego,actor,El dancing,
Pancho cachuchas,1989,Fidel Abrego,actor,El cari?oso,
Reportero de modelos,1995,Fidel Abrego,actor,Chamuco,
Suerte negra,2000,Fidel Abrego,actor,Enterrador,8.0
El dedo,2011,Luis Abreg?,actor,Pachi,7.0
Winta,2010,Homib Abreha,actor,Winta,
American Sniper,2014,Brad Abrell,actor,September 11th Newscaster,
Delgo,2008,Brad Abrell,actor,Spog,18.0
Enigmata,2010,Brad Abrell,actor,Joe,
I'm Not Ashamed,2016,Brad Abrell,actor,Trace,
Juwanna Mann,2002,Brad Abrell,actor,Announcer,
Men in Black,1997,Brad Abrell,actor,Worm Guy,42.0
Men in Black 3,2012,Brad Abrell,actor,Worm,61.0
Men in Black II,2002,Brad Abrell,actor,Mannix,60.0
Now You See Me,2013,Brad Abrell,actor,Announcer,30.0
The Good Life,2007,Brad Abrell,actor,Football Color Commentator,
Besos en la frente,1996,Leonardo Abremor,actor,Director Musical,
D' Kilabots Pogi Brothers Weh?!?,2012,Aljur Abrenica,actor,Police Officer,12.0
I.T.A.L.Y. (I Trust and Love You),2008,Aljur Abrenica,actor,Budoy,9.0
Loving You,2008,Aljur Abrenica,actor,Ryan Peyra,6.0
My Kontrabida Girl,2012,Aljur Abrenica,actor,Chris Bernal,2.0
Nandito ako... Nagmamahal sa 'yo,2009,Aljur Abrenica,actor,Tata Lugod,1.0
Sosy Problems,2012,Aljur Abrenica,actor,Benjo,5.0
Temptation Island,2011,Aljur Abrenica,actor,Alfredo,8.0
Cavite,2005,Joven F. Abrenica,actor,Thug in Bathroom,13.0
Boundary,2011,Conrado Abrenzosa,actor,Police Officer at the Checkpoint,16.0
Radio Romance,1996,Paolo Abrera,actor,Jed Montinola,2.0
Sabado Nights,1996,Paolo Abrera,actor,Mok Mok,7.0
Al Sur de la Inocencia,2014,Christopher Abreu Lyons,actor,Alfonso,
O Menino da Porteira,2009,Adair Luiz de Abreu,actor,Zeca Barbeiro,23.0
A Noite do Chupacabras,2011,Afonso (II) Abreu,actor,Seu Otto,11.0
En la puta vida,2001,Agust?n Abreu,actor,Nicol?s,6.0
Cidade dos Homens,2007,Aldene Abreu,actor,Soldado 1 - Bete,40.0
Vengeance,2013,Alexis Abreu,actor,Wedding attendee,
La Botija: El Destino Inesperado,2014,Alvin Abreu,actor,Mec?nico 2,
The Fever and the Fret,2016,Alyssa Abreu,actor,2nd School Student,
The Last Intervention,2012,Alyssa Abreu,actor,Melky,
O Menino e o Mundo,2013,Al? Abreu,actor,Velho,3.0
La Seixy,2011,Anderson Abreu,actor,Mr. Pedrito,3.0
Breakup at a Wedding,2013,Cesar Abreu,actor,Gay Flamboyant Dancer 1,59.0
Clank: Legacy,2016,Daniel Abreu,actor,Agent Demian,3.0
Cornelis,2010,Daniel Abreu,actor,Festivaldeltagare,
Spit (II),2015,Daniel Abreu,actor,Party Boy #1,41.0
Studentfesten,2013,Daniel Abreu,actor,Soldat #2,21.0
Shallow Hal,2001,Danilo Abreu,actor,Hospital Intensive Care Burn Unit Kids & Staff,150.0
Stuck on You,2003,Danny Abreu,actor,Bonnie & Clyde Musical Audience,366.0
Boricua,2004,Dilan Abreu,actor,Carmen's Party,198.0
Huelepega: Ley de la calle,1999,Edinson Abreu,actor,Glue sniffer,18.0
Boricua,2004,Edwin Abreu,actor,Carmen's Party,201.0
O Jardim do Outro Homem,2007,Evaristo Abreu,actor,Mangueira,
The Cure (III),2014,Gabriel (II) Abreu,actor,Mexican Man,
Sugar,2008,Hamlet Abreu,actor,Hamlet,58.0
A Ritmo de Fe,2013,Hayrol Abreu,actor,Juan P?rez,1.0
"I morgon, Mario",1994,Helder Abreu,actor,Jo?o,
339 Amin Abel Hasbun. Memoria de un crimen.,2014,Ico Abreu,actor,Cabo Medina Tejeda,
Jaque mate!,2012,Ico Abreu,actor,Apuntador,
Proverbs,2016,Jonathan (III) Abreu,actor,Nosy Neighbors,
An American in China,2008,Jorge Luis Abreu,actor,Store Clerk,
ATL,2006,Jorge Luis Abreu,actor,Doctor,46.0
Chto tvoryat muzhchiny! 2,2015,Jorge Luis Abreu,actor,Wedding Cake Courier,
Four Dogs Playing Poker,2000,Jorge Luis Abreu,actor,Porter,15.0
In Hell,2003,Jorge Luis Abreu,actor,Boltun,16.0
Jury Duty,1995,Jorge Luis Abreu,actor,Jorge,18.0
Ocean's Thirteen,2007,Jorge Luis Abreu,actor,Floor Manager,69.0
The Pest,1997,Jorge Luis Abreu,actor,Piercer,12.0
Justice Is Mind,2013,Joseph Abreu,actor,Birthday Party Guest,
The Volunteer (II),2013,Joseph Abreu,actor,Restaurant Patron,
Oro diablo,2000,Jos? Abreu,actor,Ramon,14.0
Sicario,1995,Jos? Abreu,actor,Caco,26.0
Eclipse em Portugal,2014,Jo?o Abreu,actor,Pivot notici?rio,16.0
The Sky Has Fallen,2009,Kory Abreu,actor,Dead Body #8,
Amor Campesino,1990,Leonardo (IV) Abreu,actor,Amigo de Jos?,7.0
Taita Boves,2010,Luis (IV) Abreu,actor,Juan Palacios,
El nudo,2002,Luis Ger?nimo Abreu,actor,Gutierrez,6.0
La Noche de Las Dos Lunas,2017,Luis Ger?nimo Abreu,actor,Alonso Arag?n,3.0
Liz en Septiembre,2014,Luis Ger?nimo Abreu,actor,Carlos,
Miranda regresa,2007,Luis Ger?nimo Abreu,actor,Younger Salim,
Ate Mais Tarde Ipanema,2009,Marco Abreu,actor,Guito,
Hoje Eu Quero Voltar Sozinho,2014,Matheus Abreu,actor,William,12.0
O Segredo dos Diamantes,2014,Matheus Abreu,actor,Angelo,
The Intermediate,2017,Noah Abreu,actor,Noah Marceau,
Dia de Preto,2012,Paulo Abreu,actor,Patr?o,
The Children of Hip Hop,2012,Pedro (V) Abreu,actor,Mariela's father,
Bitter Sweet,2013,Rafael (II) Abreu,actor,Warehouse Goon #1,
El Camino Correcto,2016,Steven Gabriel Abreu,actor,Argenis,
Ate Mais Tarde Ipanema,2009,S?rgio Abreu,actor,Branco,
Zuzu Angel,2006,S?rgio Abreu,actor,Rep?rter,
Triz,2016,Wellington Abreu,actor,F?bio Jr.,
Oriundos de la noche,2007,Wilkin Abreu,actor,Juan Bosh,
"Piedra, Papel o Tijera",2012,Xavier Abreu,actor,Recepcionista,
Um dia de Ontem,2009,Xico Abreu,actor,Wilson,
The Mayo Conspiracy,2015,Jack Abrevaya,actor,Deli Patron,13.0
Sangue vivo,2000,Abrhaim,actor,Ismail,
Tutti al mare,2011,Andebrahan Abrham,actor,Khaled,21.0
322,1969,Josef Abrh?m,actor,Peter,3.0
Bolshaya doroga,1962,Josef Abrh?m,actor,Jaroslav Hasek,1.0
Bubny,1965,Josef Abrh?m,actor,Honza,
C.K. dezerterzy,1986,Josef Abrh?m,actor,Sierzant Zajicek,
Cyril and Methodius: The Apostles of the Slavs,2013,Josef Abrh?m,actor,Fotios,
Happy End,1967,Josef Abrh?m,actor,Ptacek,3.0
Hvezda,1969,Josef Abrh?m,actor,Jir?k,
Kafka,1991,Josef Abrh?m,actor,Friend of Kafka,20.0
Kazdy den odvahu,1964,Josef Abrh?m,actor,deln?k Borek,5.0
Konec starych casu,1989,Josef Abrh?m,actor,Duke Alexej,1.0
Krik,1964,Josef Abrh?m,actor,Sl?vek,2.0
"Marecku, podejte mi pero!",1976,Josef Abrh?m,actor,Janda,10.0
Morgiana,1972,Josef Abrh?m,actor,Marek,2.0
Motiv pro vrazdu,1975,Josef Abrh?m,actor,"Kpt. VB (segment ""Kaps?r"")",19.0
Na lane,1963,Josef Abrh?m,actor,K?ja Micka aka 'Cat',
Pokus o vrazdu,1973,Josef Abrh?m,actor,Petr Trojan,6.0
Prazske noci,1969,Josef Abrh?m,actor,"Knight Saint de Clair (segment ""Chlebov? strev?cky"")",19.0
Sance,1971,Josef Abrh?m,actor,Josef,2.0
Slavnosti snezenek,1984,Josef Abrh?m,actor,Narrator of Wireless Fairy Tale,
Zachvev strachu,1983,Josef Abrh?m,actor,Counsel Mayer,5.0
Va mourire,1995,Niloufar Abri,actor,Theresa,11.0
Urgence,1985,Patrick Abrial,actor,Marcus,13.0
Donne-moi la main,2008,Jean-Pascal Abribat,actor,Le Fr?re de Cl?mentine,13.0
Gardiens de l'ordre,2010,Jean-Pascal Abribat,actor,Franky - le dealer camionnette,31.0
Jean-Philippe,2006,Jean-Pascal Abribat,actor,L'assistant de production,31.0
La proie,2011,Jean-Pascal Abribat,actor,L'homme ? la pipe,32.0
Mon arbre,2011,Jean-Pascal Abribat,actor,Patrick,12.0
Summerhood,2008,Dan Abriel,actor,Kicked Out Staff,33.0
I Am Gangster,2015,Gordy Abriel,actor,Termite,
BearCity,2010,Carlos Abrieu,actor,Computer Bear,4.0
Batad: Sa paang palay,2006,Glenn Abrigana,actor,Irrigation Tourist,42.0
Spirit Warriors,2000,Niko Abrigoso,actor,Boatman,82.0
Kingston Paradise,2013,Peter Abrikian,actor,The Man,5.0
Aleksandr Nevskiy,1938,Andrei Abrikosov,actor,Gavrilo Oleksich,3.0
Alitet ukhodit v gory,1950,Andrei Abrikosov,actor,Nikita Sergeevich Los,1.0
Bratya Karamazovy,1969,Andrei Abrikosov,actor,Samsonov,9.0
Frontovye podrugi,1941,Andrei Abrikosov,actor,Lt. Sergei Korovin,6.0
Generali da zizilebi,1963,Andrei Abrikosov,actor,Gardener,4.0
Gorod na zare,1959,Andrei Abrikosov,actor,Dobrov,1.0
Ilya Muromets,1956,Andrei Abrikosov,actor,"Prince Vladimir [Prince Vanda, US",4.0
Ivan Groznyy,1945,Andrei Abrikosov,actor,Boyar Fyodor Kolychev,9.0
Ivan Groznyy. Skaz vtoroy: Boyarskiy zagovor,1958,Andrei Abrikosov,actor,Archbishop Philip (formerly Fyodor Kolychev),9.0
Morskoy batalion,1946,Andrei Abrikosov,actor,Lt. Sergey Markin,3.0
Padeniye Berlina,1950,Andrei Abrikosov,actor,Gen. Antonov,16.0
Partiynyy bilet,1936,Andrei Abrikosov,actor,Pavel Kurganov,
Prints i nishchiy,1943,Andrei Abrikosov,actor,Miles Hendon,6.0
Ruslan i Lyudmila,1972,Andrei Abrikosov,actor,Prince Vladimir,3.0
Serdtse byotsya vnov,1956,Andrei Abrikosov,actor,Professor Klyonov,3.0
Sudba barabanshchika,1956,Andrei Abrikosov,actor,Polovchev,4.0
Svadba v Malinovke,1967,Andrei Abrikosov,actor,Balyasny,9.0
Svet dalyokoy zvezdy,1965,Andrei Abrikosov,actor,General Osokin,7.0
Tikhiy Don,1930,Andrei Abrikosov,actor,Grigori Pantelejevich Melekhov,2.0
Troye,1969,Andrei Abrikosov,actor,Stroganyy,
Velikiy perelom,1945,Andrei Abrikosov,actor,Lt. Gen. Krivenko,4.0
Vstrechnyy,1932,Andrei Abrikosov,actor,Pavel,4.0
Zori Parizha,1937,Andrei Abrikosov,actor,Etienne Millard,3.0
Borets i kloun,1957,Grigori Abrikosov,actor,Mr. Fish,15.0
Chelovek rodilsya,1956,Grigori Abrikosov,actor,Bus Driver Fyodor Strashnov,7.0
Serdtse byotsya vnov,1956,Grigori Abrikosov,actor,Din-Mamedov,7.0
Svadba v Malinovke,1967,Grigori Abrikosov,actor,Gritsian,10.0
Talanty i poklonniki,1973,Grigori Abrikosov,actor,Yerast Gromilov,10.0
Blunt Force Trauma,2015,Daniel (III) Abril,actor,Rodrigo,
La tribu de los aurones,1988,Gonzalo Abril,actor,Yuca,2.0
Lluc Sky Walker,2015,Jordi Abril,actor,Neighbour #5,23.0
Demons of Jack County,2016,Jose Abril,actor,Manitas,
Furious Seven,2015,Jose Abril,actor,Hector's Crew Member,
I Am Gangster,2015,Jose Abril,actor,Reyes,
Khali the Killer,2016,Jose Abril,actor,Henchmen,
Major Deal,2016,Jose Abril,actor,Thug (Jail),
Recovery,2015,Jose Abril,actor,Loud Mouth,
Strife,2017,Jose Abril,actor,Chale,
We Are Your Friends,2015,Jose Abril,actor,Nightclub Bouncer,
Web,2016,Jose Abril,actor,Smiley,6.0
Donde cae el sol,2002,Luis Abril,actor,Tango dancer,
O Espinho Da Rosa,2013,Ricardo Abril,actor,Neriano (Ney),
#Y,2014,Jun Abrina,actor,Mr. Jun Limcaoco,39.0
My Valentine Girls,2011,Richard Abrincillo,actor,"Tribal Fire Dancer (segment ""Gunaw"")",49.0
Beerfest,2006,Giancarlo Abriola,actor,Irishman,
Live Free or Die Hard,2007,Giancarlo Abriola,actor,Student,
National Treasure: Book of Secrets,2007,Giancarlo Abriola,actor,Miner,
"Surfer, Dude",2008,Giancarlo Abriola,actor,IT Technician,
Coraje,1999,Mart?n Abriqueta,actor,Gustavo,
Casino,1995,Khosrow Abrishami,actor,Jeweler Fences,97.0
Dioses,2008,Mart?n Abrisqueta,actor,Ram?n,
Vidas paralelas,2008,Mart?n Abrisqueta,actor,Mayor Alvarado,
On a Country Road,2014,Karen Abrissi,actor,Traci,
Death for Sale,2011,Abdelouahed Abrit,actor,Carjacking Victim,
So... Happy Together,2004,Samuel Abriza,actor,Osmond's Friend,28.0
Abstraction,2013,Brando Abro,actor,Sammy the Waiter,
Dead on Arrival,2013,Brando Abro,actor,Mobster Charlie,
Fly on the Wall,2017,Brando Abro,actor,Abbas,
Silent Screams,2015,Brando Abro,actor,Pavel,
Walk Don't Run,1966,Holger Abro,actor,Swedish Athlete,
Organize Chaos,2014,Jasir Abro,actor,Sultan,
Camping,1990,Rune Abro,actor,Anitas barn,22.0
Stolen Tango,2015,Maiamar Abrodos,actor,Gorda Tata,
The Games Maker,2014,Maiamar Abrodos,actor,Miss Blum,11.0
Co-ed Scandal,2006,Nestor Abrogena Jr.,actor,Bar,92.0
Co-ed Scandal,2006,Nestor Abrogena Jr.,actor,Party Goer,92.0
Emir,2010,Nestor Abrogena Jr.,actor,Agency personnel 3,62.0
Raketeros,2013,Nestor Abrogena Jr.,actor,Julio's brother,
Sabungero,2009,Nestor Abrogena Jr.,actor,Congressman's bodyguard,
San Lazaro,2011,Nestor Abrogena Jr.,actor,Drifter,17.0
Fernes Land Pa-Isch,2000,Nana Abrokwa,actor,Le Pain,20.0
Schattenboxer,1992,Nana Abrokwa,actor,Festus,7.0
Masaan,2015,Mohit Abrol,actor,Traveller Boy,57.0
Tum Milo Toh Sahi,2010,Srinivas Abrol,actor,Son,
00 Schneider - Jagd auf Nihil Baxter,1994,Werner Abrolat,actor,Polizeipr?sident,4.0
Das Zauberbuch,1996,Werner Abrolat,actor,Spucki,
De 5 i fedtefadet,1970,Werner Abrolat,actor,Johnny,10.0
Die Liebesquelle,1966,Werner Abrolat,actor,John,13.0
Die Vertreibung aus dem Paradies,1977,Werner Abrolat,actor,Regisseur im Aufzug,11.0
Engelchen - oder die Jungfrau von Bamberg,1968,Werner Abrolat,actor,Voices of TV-Announcer and Creditor,
"Engelchen macht weiter - Hoppe, hoppe Reiter",1969,Werner Abrolat,actor,Aufdringlicher Herr auf Orgie,19.0
Erotik im Beruf - Was jeder Personalchef gern verschweigt,1971,Werner Abrolat,actor,Photograph,
Herzlich willkommen,1990,Werner Abrolat,actor,Pf?rtner,8.0
"Hurra, wir sind mal wieder Junggesellen!",1971,Werner Abrolat,actor,Hotel Manager,
Il trono di fuoco,1970,Werner Abrolat,actor,Inquisitor Matt,
Josefine Mutzenbacher,1970,Werner Abrolat,actor,Horak,11.0
Josefine Mutzenbacher II - Meine 365 Liebhaber,1971,Werner Abrolat,actor,Kammerdiener,
Josefine Mutzenbacher II - Meine 365 Liebhaber,1971,Werner Abrolat,actor,Lechner,
Keep on Running,1991,Werner Abrolat,actor,Direktor,
Otto ist auf Frauen scharf,1968,Werner Abrolat,actor,Major Kroll,
Praxis Dr. Hasenbein,1997,Werner Abrolat,actor,K?semann,6.0
Tante Trude aus Buxtehude,1971,Werner Abrolat,actor,Herr Preissen,23.0
The Castle of Fu Manchu,1969,Werner Abrolat,actor,Melnik,9.0
Um Null Uhr schnappt die Falle zu,1966,Werner Abrolat,actor,Krot,10.0
No Brainer,2008,Abromowitz,actor,Himself,14.0
No Rest for the Wicked,1998,David Abromowitz,actor,Strip Bar Patron #2,40.0
Project Vampire,1993,Eric Abromson,actor,Foster's Guests,48.0
Lazer Team,2015,Anthony Abron,actor,Scared Orderly,19.0
Black Cloud,2004,Deandrey Abron,actor,Daemon,26.0
Good Brutha Bad Brutha,2013,Keion Abron,actor,Pedator,
Sickness,2011,Keion Abron,actor,'Sick' Bro,
Vector III,2016,Keion Abron,actor,Extra,
Vector III,2016,Keion Abron,actor,Villain,
Women's Playground,2013,Keion Abron,actor,Officer Wilson,33.0
The Bigtop,2010,Ward Abronski,actor,Father,
Psikhoz,2009,Artem Abroskin,actor,Zombie,
Paren s Marsa,2011,Sergey Abroskin,actor,Petya Starikov,1.0
"Ali Zaoua, prince de la rue",2000,Abdel Ali Abrouk,actor,Wounded child,24.0
Crank,2006,Med Abrous,actor,Verona Crew #1,17.0
Gamer,2009,Med Abrous,actor,Pig Face Ron,35.0
Pathology,2008,Med Abrous,actor,Young Pathology Resident,12.0
The Dog Problem,2006,Med Abrous,actor,Brad,14.0
The Vatican Tapes,2015,Med Abrous,actor,Psych Patient #7,
Two for One,2016,Med Abrous,actor,French art critic,
Urge,2016,Med Abrous,actor,Gambler's Friend,24.0
Four Corners of Suburbia,2005,Mark Abrue,actor,Young Walt in Field,
Steel,1979,Stephen Abrums,actor,1st Goon,28.0
La lettre,1999,Pedro Abrunhosa,actor,Pedro Abrunhosa,2.0
"Nome de Guerra, a Viagem de Junqueiro",2011,Pedro Abrunhosa,actor,Himself,4.0
As Cool as Jennifer: Volume 2,2009,Robert Abrunzo,actor,Crossroads Patron,
Alien Dawn,2012,Michael Abruscato,actor,Roger Kaczynski,1.0
Hollywood Mouth,2008,Michael Abruscato,actor,Marlon Brando,
Blinds,1982,Steve Abruscato,actor,Policeman's voice,
Sogni d'oro,1981,Alberto Abruzzese,actor,TV Executive,13.0
Elisa,2016,Mirco Abruzzetti,actor,The courier,5.0
All of Her,2014,Brian Abruzzi,actor,Tom,
Believe in Me,1971,William Abruzzi,actor,Lecturer,14.0
Perry Como's Christmas in New Mexico,1979,Ben Abruzzo,actor,Himself (Balloon Team),
Ho scelto l'amore,1953,Michele Abruzzo,actor,Vitali,
I cavalieri dalle maschere nere (I beati paoli),1948,Michele Abruzzo,actor,Matteo,8.0
Il fidanzamento,1975,Michele Abruzzo,actor,Edmondo Guglielmi - father of Mirella,5.0
La violenza: Quinto potere,1972,Michele Abruzzo,actor,Zaccaria,7.0
Made in Italy,1965,Michele Abruzzo,actor,"The Commander (segment ""2 'Il Lavoro', episode 2"")",18.0
"Mio Dio, come sono caduta in basso!",1974,Michele Abruzzo,actor,Monsignor Pacifico,8.0
Pastasciutta nel deserto,1961,Michele Abruzzo,actor,Il Maggiore,
Creedmoria,2016,Ray Abruzzo,actor,Ernest Cahill,
House of Sand and Fog,2003,Ray Abruzzo,actor,Frank,40.0
Last Vegas,2013,Ray Abruzzo,actor,Pit Boss,23.0
Snatched,2011,Ray Abruzzo,actor,Bernie,
Somebody Marry Me,2013,Ray Abruzzo,actor,David Rosenberg,1.0
The Big Fat Stone,2014,Ray Abruzzo,actor,Detective Moreschi,
The Death of Socrates,2010,Ray Abruzzo,actor,Callias,
The Last Gamble,2011,Ray Abruzzo,actor,Ray,5.0
Tooken,2015,Ray Abruzzo,actor,Dalmat,10.0
Coping,2000,Tony Abruzzo,actor,Rob's Dad,5.0
Moontrap,1989,Tony Abruzzo,actor,Soldier #1,13.0
Ashen Falls,2012,Tony (II) Abruzzo,actor,"Scientist #1, Operator, Dispatcher",
Running on Empty,1988,Jonas Abry,actor,Harry Pope,4.0
Slaves of New York,1989,Jonas Abry,actor,Mickey,15.0
BirdWatchers - La terra degli uomini rossi,2008,Pedro Abr?sio da Silva,actor,Osvaldo,5.0
7 Zwerge,2004,Nikolas Abs,actor,Wache,43.0
The Flying Scotsman,2006,Nikolas Abs,actor,Junior Official,
Witch,2017,Michael Absalom,actor,Philip Dante,
Katotohanan o guniguni? The Movie Part II,1985,Ardon Absalon,actor,"(segment ""Laman"")",6.0
1974,2017,Roberto Absal?n,actor,Testigo,
Advantageous,2015,Daniel Abse,actor,Lawyer,
Rushlights,2013,Nestor Aaron Absera,actor,Jamie Albright,10.0
Dude,2010,Adam Absher,actor,Rick,
A Sweet and Vicious Beauty,2012,Danny Absher,actor,Country Elder,23.0
A Sweet and Vicious Beauty,2012,Hunter Absher,actor,Townsperson,
Unsung Heroes,1978,Larry Allen Abshier,actor,Carl,
The Kult,2012,Allan Abshire,actor,Detective,
Fourth Man Out,2015,Drake Abshire,actor,Bradstar Image,
A Kiss and a Promise,2012,Matt Abshire,actor,Detective Morris,22.0
Chasing 3000,2010,Matt Abshire,actor,Bobby,
The Perfect Host,2010,Adam Absinthe,actor,Party Guest,24.0
Dream,2001,Joe Absolom,actor,Tommy,2.0
Extreme Ops,2002,Joe Absolom,actor,Silo,6.0
I Spit on Your Grave 2,2013,Joe Absolom,actor,Ivan Patov,2.0
Long Time Dead,2002,Joe Absolom,actor,Rob,1.0
The Story of F***,2010,Joe Absolom,actor,Baz,
Thorne: Scaredycat,2010,Joe Absolom,actor,Stuart Nicklin,
Come-Back,1981,Ab Abspoel,actor,Maas,
De aanslag,1986,Ab Abspoel,actor,Man in pub,31.0
De lift,1983,Ab Abspoel,actor,Cher,28.0
De overval,1962,Ab Abspoel,actor,PTT-monteur Jan,
De schorpioen,1984,Ab Abspoel,actor,Fat Man,
De smaak van water,1982,Ab Abspoel,actor,Doorman,9.0
Dokter Vlimmen,1977,Ab Abspoel,actor,Boer met bevallende koe,1.0
Een vlieger voor god,1981,Ab Abspoel,actor,Vader,
Fietsen naar de maan,1963,Ab Abspoel,actor,"Everts collega, een decorateur",
Het meisje met het rode haar,1981,Ab Abspoel,actor,NSB-er,19.0
Moord in extase,1984,Ab Abspoel,actor,Postbode,15.0
Spetters,1980,Ab Abspoel,actor,Rien's vader,9.0
Wilde harten,1989,Ab Abspoel,actor,Politieman in ziekenhuis,17.0
06/05,2004,Dave Abspoel,actor,Himself,
Meadow Bridge,2016,Robert Absten,actor,Donald McClung,28.0
Best Seller,1987,Dean Abston,actor,Cabot,32.0
Checking Out,1989,Dean Abston,actor,Security Guard,22.0
Over the Top,1987,Dean Abston,actor,Turnkey,25.0
Pro Wrestlers vs Zombies,2014,Jerry Abston,actor,Zombie,
Case of the Full Moon Murders,1973,Kenny Abston,actor,Chuck,4.0
Charlie Valentine,2009,Melvin Abston,actor,Bum,
Chastity Bites,2013,Melvin Abston,actor,Louie,
Solace,2017,Melvin Abston,actor,Ken,
Nasaan ka nang kailangan kita,1996,Abstract Dancers,actor,Dancers,29.0
"Oh, My Girl!: A Laugh Story...",2009,Abstract Dancers,actor,Dancers,32.0
Misteryo sa tuwa,1984,Basilio Absulio,actor,Rondalla,71.0
Zombadings 1: Patayin sa shokot si Remington,2011,Luther Absulio,actor,Remington's Barkada,37.0
Zombadings 1: Patayin sa shokot si Remington,2011,Suan Jude Absulio,actor,Remington's Barkada,44.0
Argo,2012,Omid Abtahi,actor,Reza Borhani,20.0
Boys of Abu Ghraib,2014,Omid Abtahi,actor,Ghazi Hammoud,4.0
Brothers,2009,Omid Abtahi,actor,Yusuf,11.0
Ocean of Pearls,2008,Omid Abtahi,actor,Amrit Singh,1.0
Running with Scissors,2006,Omid Abtahi,actor,Restaurant Manager,17.0
Space Chimps,2008,Omid Abtahi,actor,Dr. Jagu,9.0
Space Chimps 2: Zartog Strikes Back,2010,Omid Abtahi,actor,Dr. Jagu,11.0
Space Chimps 2: Zartog Strikes Back,2010,Omid Abtahi,actor,Reporter #2,11.0
The Hunger Games: Mockingjay - Part 2,2015,Omid Abtahi,actor,Homes,25.0
The Last Lullaby,2008,Omid Abtahi,actor,Van,6.0
The Mysteries of Pittsburgh,2008,Omid Abtahi,actor,Mohammed,6.0
Window Horses,2016,Omid Abtahi,actor,Ramin,
Anonyma - Eine Frau in Berlin,2008,Hans-Peter Abts,actor,Stiefelrusse,
Barfuss,2005,Hans-Peter Abts,actor,Freundlicher Nachbar,1.0
Bulan Terbelah Di Langit Amerika,2015,Michael Abts,actor,Alex,
